Date,Hour,Altitude,Long,Lat,Sound,Air,Light
"29/4/2018
","18:43
","353.50
","-8.406829
","40.213588
","57.86
","40.53
","295.74
"
"29/4/2018
","18:43
","353.80
","-8.406740
","40.213718
","55.70
","40.45
","292.41
"
"29/4/2018
","18:43
","348.30
","-8.406781
","40.213825
","56.58
","40.14
","289.22
"
"29/4/2018
","18:43
","336.00
","-8.406882
","40.213958
","57.63
","40.35
","182.36
"
"29/4/2018
","18:43
","337.50
","-8.406905
","40.213962
","54.87
","40.37
","181.64
"
"29/4/2018
","18:43
","333.80
","-8.407036
","40.213951
","56.77
","40.39
","69.91
"
"29/4/2018
","18:43
","334.40
","-8.407084
","40.213970
","56.73
","40.32
","224.98
"
"29/4/2018
","18:43
","324.00
","-8.407224
","40.214076
","55.97
","40.66
","277.13
"
"29/4/2018
","18:44
","312.20
","-8.407383
","40.214176
","56.82
","45.14
","1071.61
"
"29/4/2018
","18:44
","322.70
","-8.407391
","40.214172
","56.45
","41.71
","1112.34
"
"29/4/2018
","18:44
","322.50
","-8.407415
","40.214206
","54.87
","42.26
","1076.07
"
"29/4/2018
","18:44
","325.00
","-8.407469
","40.214263
","55.47
","42.70
","1172.60
"
"29/4/2018
","18:44
","326.20
","-8.407467
","40.214302
","54.27
","40.74
","296.74
"
"29/4/2018
","18:44
","325.80
","-8.407424
","40.214263
","56.67
","41.49
","8.78
"
"29/4/2018
","18:44
","331.60
","-8.407444
","40.214229
","55.42
","40.20
","85.14
"
"29/4/2018
","18:44
","323.30
","-8.407480
","40.214248
","55.30
","39.47
","264.99
"
"29/4/2018
","18:44
","330.30
","-8.407425
","40.214076
","55.45
","42.05
","263.23
"
"29/4/2018
","18:44
","321.70
","-8.407713
","40.214263
","66.94
","47.98
","281.18
"
"29/4/2018
","18:44
","285.70
","-8.408189
","40.214855
","55.22
","46.10
","277.57
"
"29/4/2018
","18:44
","260.10
","-8.408325
","40.215030
","54.51
","45.35
","275.65
"
"29/4/2018
","18:45
","244.00
","-8.408437
","40.215072
","54.34
","43.49
","273.26
"
"29/4/2018
","18:45
","242.70
","-8.408528
","40.215160
","54.63
","41.91
","273.69
"
"29/4/2018
","18:45
","226.10
","-8.408335
","40.215129
","55.28
","41.99
","270.64
"
"29/4/2018
","18:45
","214.70
","-8.408261
","40.215087
","55.37
","42.00
","269.51
"
"29/4/2018
","18:45
","214.00
","-8.408085
","40.215080
","54.38
","44.58
","273.90
"
"29/4/2018
","18:45
","218.90
","-8.408026
","40.215106
","55.44
","47.52
","272.08
"
"29/4/2018
","18:45
","211.20
","-8.408578
","40.215705
","81.65
","50.62
","280.66
"
"29/4/2018
","18:45
","192.40
","-8.408743
","40.215591
","56.07
","52.03
","277.55
"
"29/4/2018
","18:45
","175.60
","-8.408688
","40.215263
","54.63
","50.87
","268.59
"
