Date,Hour,Altitude,Long,Lat,Sound,Air,Light
"29/4/2018
","18:49
","157.40
","-8.408390
","40.215106
","56.44
","40.74
","641.47
"
"29/4/2018
","18:50
","163.00
","-8.408293
","40.215068
","56.14
","40.62
","697.43
"
"29/4/2018
","18:50
","169.30
","-8.408108
","40.215126
","55.04
","40.43
","750.81
"
"29/4/2018
","18:50
","167.60
","-8.408140
","40.215045
","56.30
","40.64
","801.38
"
"29/4/2018
","18:51
","158.60
","-8.407920
","40.215198
","56.12
","41.08
","1364.05
"
"29/4/2018
","18:51
","147.20
","-8.408081
","40.215156
","56.01
","40.20
","911.24
"
"29/4/2018
","18:51
","71.50
","-8.408650
","40.215808
","56.64
","39.03
","636.16
"
"29/4/2018
","18:52
","76.10
","-8.408961
","40.215568
","56.68
","39.13
","644.92
"
"29/4/2018
","18:52
","95.00
","-8.408890
","40.215427
","55.80
","39.03
","654.25
"
"29/4/2018
","18:52
","124.40
","-8.408703
","40.215251
","56.40
","38.90
","651.53
"
"29/4/2018
","18:53
","158.50
","-8.408354
","40.215007
","56.93
","40.20
","644.76
"
"29/4/2018
","18:53
","162.50
","-8.408257
","40.215003
","56.16
","41.76
","608.75
"
"29/4/2018
","18:53
","160.20
","-8.408205
","40.214958
","55.83
","42.97
","59.85
"
"29/4/2018
","18:54
","165.10
","-8.408047
","40.214988
","56.15
","42.03
","61.39
"
"29/4/2018
","18:54
","152.10
","-8.408650
","40.215278
","55.25
","45.07
","736.60
"
"29/4/2018
","18:54
","151.50
","-8.408272
","40.215061
","55.86
","44.22
","749.99
"
"29/4/2018
","18:55
","152.50
","-8.408567
","40.215248
","56.58
","44.82
","716.24
"
"29/4/2018
","18:55
","125.00
","-8.408629
","40.216053
","59.48
","42.87
","661.32
"
"29/4/2018
","18:56
","106.40
","-8.408646
","40.215263
","54.66
","42.33
","618.76
"
"29/4/2018
","18:56
","116.50
","-8.408603
","40.214996
","55.13
","42.29
","581.01
"
"29/4/2018
","18:56
","237.20
","-8.408345
","40.213630
","55.39
","43.02
","549.14
"
